Fiscal Year,Company Name,Company Address,Municipality,County 1,State,Zip Code,Business Industry,NAICS Code,Minority/ Woman/ Veteran/ International Export,Contract Execution Date,Grant Amount,Loan Amount,Total Assistance ,Total Project Cost,Amount Leveraged,Funding Source,Statutory Reference,Per Contract: Full-Time CT Jobs to be Retained,Per Contract: Full-Time CT Jobs to be Created,Per Contract: Part-Time CT Jobs to be Retained,Per Contract: Part-Time CT Jobs to be Created,Actual Jobs at Time of Review,Job Obligation Status,Penalty (if applicable),Forgiveness Earned (if applicable),Per Application: Existing Full-Time Jobs in CT,Per Application: Full-Time Jobs to be Created in CT,Per Application: Existing Part-Time Jobs in CT,Per Application: Part Time Jobs to be Created in CT,Full-Time CT Employment at 6/30/20,Part-Time CT Employment at 6/30/20,Status,Location 1,Count,Geocoded Location,Planning Regions,Counties,Zip Code 2,Town Index
2013,"Dollar Tree Distribution, Inc.",100 International Drive,Windsor,Hartford,CT,06092,Manufacturing,452990,No,08/23/2012,500000.00,7000000.00,7500000.00,103800000.00,96300000.00,Manufacturing Assistance Act/URA Tax Credits,CH 588l,0,200,,,424,Met,n/a,"7,000,000",0,0,0,0,,,Active,100 International Drive,1,"100 International Drive
Windsor, CT 06092
(41.916347, -72.724083)",1,1041,19,164
2013,"O'Rourke's Diner, LLC",728 Main Street,Middletown,Middlesex,CT,06457,Full Service Restaurant,722511,No,07/06/2012,82000.00,0.00,82000.00,511000.00,429000.00,Small Business Express Program,CGS Sec. 32-7g,10,0,0,0,11,Met,n/a,n/a,10,0,0,0,,,Active,728 Main Street,1,"728 Main Street
Middletown, CT 06457
(41.565833, -72.652797)",3,1043,236,83
2013,"Coffee Break Canteen, LLC",27 East Main Street,Clinton,Middlesex,CT,06413,Limited Service Restaurant,722513,No,08/01/2012,19934.00,0.00,19934.00,39868.00,19934.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,4,Met,n/a,n/a,2,2,0,0,,,Active,27 East Main Street,1,"27 East Main Street
Clinton, CT 06413
(41.278496, -72.52536)",3,1043,271,27
2014,"Vaz Quality Works, LLC",179 Williams Street,Bridgeport,Fairfield,CT,06608,Mason Contracting,238140,No,11/13/2013,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,14,7,0,0,21,Met,n/a,n/a,14,7,0,0,,,Active,179 Williams Street,1,,,,,
2012,"385 Central Glass & Mirror, Inc. dba New England Glass & Mirror Co.",31 Connecticut Avenue,Norwich,New London,CT,06360,Glass & Glazing Contractor,238150,No,06/27/2012,100000.00,0.00,100000.00,203000.00,103000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,19,Met,n/a,n/a,15,2,0,0,18,3,Active,31 Connecticut Avenue,1,"31 Connecticut Avenue
Norwich, CT 06360
(41.561939, -72.112914)",8,1045,14,104
2015,"Sports on 66, LLC",265 West High Street,East Hampton,Middlesex,CT,06424,Sporting Goods Store,451110,No,05/21/2015,100000.00,300000.00,400000.00,500000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,0,7,0,0,Pending,Pending,n/a,n/a,0,10,0,0,,,Compliance Complete,265 West High Street,1,"265 West High Street
East Hampton, CT 06424
(41.563234, -72.542883)",3,1043,273,42
2014,"Hartford Cardiology Group, LLC","345 North Main Street, lst Floor",West Hartford,Hartford,CT,06117,Medical Practice,621111,No,03/03/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,9,5,0,0,22,Met,n/a,n/a,9,5,0,0,,,Active,"345 North Main Street, lst Floor",1,"345 North Main Street, lst Floor
West Hartford, CT 06117
(41.785155, -72.746913)",1,1041,181,155
2013,"Stanziale Fitness, LLC dba FitnessxPress",1020 South Main Street,Cheshire,New Haven,CT,06410,Physical Fitness Center,713940,No,09/07/2012,50000.00,0.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,3,2,0,0,5,Met,n/a,n/a,3,2,0,0,,,Active,1020 South Main Street,1,"1020 South Main Street
Cheshire, CT 06410
(41.476718, -72.906147)",4,1044,63,25
2014,"Avid, Inc.","100 Corporate Place #1, Suite 200",Rocky Hill,Hartford,CT,06067,Graphic Marketing,541890,No,06/02/2014,96822.00,100000.00,196822.00,303000.00,106178.00,Small Business Express Program,CGS Sec. 32-7g,21,7,0,0,28,Met,n/a,n/a,21,7,0,0,,,Active,"100 Corporate Place #1, Suite 200",1,"100 Corporate Place #1, Suite 200
Rocky Hill, CT 06067
(41.652119, -72.675173)",1,1041,189,119
2018,"West-Conn Tool & Die, Inc.",128 Long Hill Cross Road,Shelton,Fairfield,CT,06484,Manufacturing,333513,No,08/15/2017,100000.00,300000.00,400000.00,752800.00,352800.00,Small Business Express Program,CGS Sec. 32-7g,24,5,0,0,Pending,Pending,n/a,n/a,27,5,2,0,,,Active,128 Long Hill Cross Road,1,"128 Long Hill Cross Road
Shelton, CT 06484
(41.284385, -73.108414)",4,1040,217,126
2016,"Gene Langan Volkswagen of Connecticut, Inc.",816 New London Turnpike,Glastonbury,Hartford,CT,06033,Automotive,441110,No,09/01/2015,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,38,5,0,0,Pending,Pending,n/a,n/a,38,5,0,0,,,Active,816 New London Turnpike,1,"816 New London Turnpike
Glastonbury, CT 06033
(41.704771, -72.592806)",1,1041,90,54
2013,"Hawk Integrated Plastics, LLC",1 Commerce Drive,Columbia,Tolland,CT,06237,Manufacturing,333220,No,04/10/2013,100000.00,200000.00,300000.00,2410000.00,2110000.00,Manufacturing Assistance Act,CH 588l,15,5,,,11,Not Met,rate increase from 2% to 3%,n/a,15,0,1,0,,,Active,1 Commerce Drive,1,"1 Commerce Drive
Columbia, CT 06237
(41.715237, -72.24824)",1,38,249,30
2012,GKN Aerospace Services Structure Corporation,1000 Corporate Row,Cromwell,Middlesex,CT,06416,Manufacturing,336411,No,12/23/2011,0.00,2000000.00,2000000.00,6000000.00,4000000.00,Manufacturing Assistance Act,CH 588l,60,103,,,175,Met,n/a,"2,000,000",60,103,10,0,,,Active,1000 Corporate Row,1,"1000 Corporate Row
Cromwell, CT 06416
(41.605729, -72.655657)",3,1043,165,33
2012,"MK North America, Inc.",105 Highland Park Drive,Bloomfield,Hartford,CT,06002,Service,561990,No,05/21/2012,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,30,8,0,0,38,Met,n/a,n/a,31,18,0,0,,,Active,105 Highland Park Drive,1,"105 Highland Park Drive
Bloomfield, CT 06002
(41.859905, -72.737451)",1,1041,224,11
2017,"Inventec Performance Chemicals USA, LLC",500 Main Street,Deep River,Middlesex,CT,06417,Manufacturing,325998,No,09/07/2016,100000.00,0.00,100000.00,300000.00,200000.00,Small Business Express Program,CGS Sec. 32-7g,12,6,0,0,Pending,Pending,n/a,n/a,12,6,0,0,,,Active,500 Main Street,1,"500 Main Street
Deep River, CT 06417
(41.367061, -72.425593)",3,1043,272,36
2017,"Joy Newton, LLC",286 West Granby Road,West Granby,Hartford,CT,06090,Manufacturing and Consumer Goods,541990,Yes Woman,10/05/2016,0.00,20000.00,20000.00,22800.00,2800.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,Pending,Pending,n/a,n/a,1,5,0,0,,,Active,286 West Granby Road,1,"286 West Granby Road
West Granby, CT 06090
(41.956217, -72.842568)",1,1041,159,56
2015,"Martinaj Brothers Construction, LLC",355 Goodwin Street,East Hartford,Hartford,CT,06108,Construction,236100,No,03/12/2015,0.00,100000.00,100000.00,100000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,1,0,0,0,Pending,Pending,n/a,n/a,1,2,0,0,,,Active,355 Goodwin Street,1,"355 Goodwin Street
East Hartford, CT 06108
(41.791054, -72.614217)",1,1041,119,43
2018,"Advanced Dermatology & Laser Center, LLC",489 Post Road,Westport,Fairfield,CT,06880,Medical,621111,Yes Woman,08/01/2017,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,5,5,0,0,Pending,Pending,n/a,n/a,5,5,9,5,,,Active,489 Post Road,1,"489 Post Road
Westport, CT 06880
(41.13983, -73.348532)",9,1040,179,158
2013,"Penny-Hanley & Howley Company, Inc.",52 Main Street,Stafford,Tolland,CT,06076,Insurance,524130,Yes Woman,07/27/2012,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,5,1,0,0,7,Met,n/a,n/a,6,1,0,0,,,Compliance Complete,52 Main Street,1,"52 Main Street
Stafford, CT 06076
(41.953402, -72.30541)",1,38,34,134
2018,"Triumph Engine Control Systems, LLC",One Charter Oak Boulevard,West Hartford,Hartford,CT,06113,Manufacturing,336411,No,06/26/2018,1500000.00,0.00,1500000.00,13811963.00,12311963.00,Manufacturing Assistance Act,CH 588l,585,44,0,0,711,Met,n/a,n/a,474,44,0,0,,,Active,One Charter Oak Boulevard,1,,,,,
2013,"Herb Holden Trucking, Inc.",59 Broad Brook Road,East Windsor,Hartford,CT,06016,Masonry Trucking,423320,No,01/11/2013,60000.00,0.00,60000.00,602400.00,542400.00,Small Business Express Program,CGS Sec. 32-7g,39,3,0,0,43,Met,n/a,n/a,39,3,0,0,,,Compliance Complete,59 Broad Brook Road,1,"59 Broad Brook Road
East Windsor, CT 06016
(41.93107, -72.534855)",1,1041,183,47
2019,"Green Village Initiative, LLC","325 Lafayette Street, Unit #9101",Bridgeport,Fairfield,CT,06604,Urban Farming & Education NPO,115000,No,07/25/2018,15000.00,,15000.00,30000.00,15000.00,Small Business Express Program,CGS Sec. 32-7g,2,1,0,0,Pending,Pending,n/a,n/a,2,2,17,0,,,Active,"325 Lafayette Street, Unit #9101",1,"325 Lafayette Street, Unit #9101
Bridgeport, CT 06604
(41.168158, -73.188552)",2,1040,172,15
2015,"Toce Brothers, Inc.",143 East Main Street,Torrington,Litchfield,CT,06790,Tire Service,441320,Yes Woman,04/22/2015,100000.00,300000.00,400000.00,515000.00,115000.00,Small Business Express Program,CGS Sec. 32-7g,32,8,0,0,Pending,Pending,n/a,n/a,32,8,0,0,,,Compliance Complete,143 East Main Street,1,"143 East Main Street
Torrington, CT 06790
(41.802397, -73.118347)",6,1042,122,143
2016,"Lime Rock Park, LLC",497 Lime Rock Road,Lakeville,Litchfield,CT,06039,Manufacturing,711212,No,11/10/2015,0.00,1000000.00,1000000.00,3500000.00,2500000.00,Manufacturing Assistance Act,CH 588l,21,4,7,4,227,Met,n/a,"250,000",22,4,10,4,,,Active,497 Lime Rock Road,1,"497 Lime Rock Road
Lakeville, CT 06039
(41.930289, -73.378471)",6,1042,51,122
2018,"K Town Automotive, LLC",574 Wauregan Road,Killingly,Windham,CT,06239,Retail Sales and Service of Automobiles,441120,No,03/05/2018,0.00,50000.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,8,2,0,0,Pending,OOB,n/a,n/a,9,2,1,2,,,Active,574 Wauregan Road,1,"574 Wauregan Road
Killingly, CT 06239
(41.764797, -71.900092)",5,39,71,69
2013,"Lyco, Inc.",540 North Main Street,Manchester,Hartford,CT,06042,"Modular Office Furniture Sale, Manufacturing and Install",337214,No,08/27/2012,80925.00,0.00,80925.00,161850.00,80925.00,Small Business Express Program,CGS Sec. 32-7g,20,3,0,0,2,Not Met,"$2,000",n/a,20,3,0,0,,,Active,540 North Main Street,1,"540 North Main Street
Manchester, CT 06042
(41.79506, -72.535685)",1,1041,161,77
2015,"Back East Brewing, LLC",1296A Blue Hills Avenue,Bloomfield,Hartford,CT,06002,Craft Brewery,312120,Yes Woman,09/25/2014,0.00,176202.00,176202.00,294428.00,118226.00,Small Business Express Program,CGS Sec. 32-7g,2,1,0,0,4,Met,n/a,n/a,2,1,0,0,,,Active,1296A Blue Hills Avenue,1,"1296A Blue Hills Avenue
Bloomfield, CT 06002
(41.854843, -72.705216)",1,1041,224,11
2013,"Antinozzi Associates, P.C.",271 Fairfield Avenue,Bridgeport,Fairfield,CT,06604,Architectural Services,541310,No,02/20/2013,64259.00,0.00,64259.00,128518.00,64259.00,Small Business Express Program,CGS Sec. 32-7g,30,3,0,0,33,Met,n/a,n/a,30,3,0,0,25,3,Active,271 Fairfield Avenue,1,"271 Fairfield Avenue
Bridgeport, CT 06604
(41.178592, -73.192141)",2,1040,172,15
2015,"Value Machinery, Inc.",24 Woodlawn Terrace,Shelton,Fairfield,CT,06484,Distributor Tea Bag String,423830,Yes Woman,01/23/2015,15000.00,140000.00,155000.00,596770.00,441770.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,2,Met,n/a,n/a,1,1,0,0,,,Active,24 Woodlawn Terrace,1,"24 Woodlawn Terrace
Shelton, CT 06484
(41.269659, -73.157815)",4,1040,217,126
2013,"Roberge Associates Coastal Engineers, LLC",611 Access Road,Stratford,Fairfield,CT,06615,Coastal Engineering,541330,No,09/19/2012,100000.00,0.00,100000.00,220000.00,120000.00,Small Business Express Program,CGS Sec. 32-7g,8,2,0,0,11,Met,n/a,n/a,8,2,0,0,,,Active,611 Access Road,1,"611 Access Road
Stratford, CT 06615
(41.16843, -73.136613)",2,1040,178,138
2015,"Pure Skin, LLC",133 Main Street,Southington,Hartford,CT,06489,Medical Spa,713940,Yes Woman,10/29/2014,40000.00,0.00,40000.00,86815.00,46815.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,4,Met,OOB,OOB,2,2,0,0,,,Out of Business- confirmed,133 Main Street,1,"133 Main Street
Southington, CT 06489
(41.599561, -72.877994)",1,1041,176,131
2013,The Omar Coffee Company,41 Commerce Court,Newington,Hartford,CT,06111,Coffee & Tea Manufacturing,311920,No,12/26/2012,100000.00,250000.00,350000.00,702485.00,352485.00,Small Business Express Program,CGS Sec. 32-7g,30,5,0,0,32,Not Met,Rate increase from 2% to 3%,n/a,30,5,0,0,,,Active,41 Commerce Court,1,"41 Commerce Court
Newington, CT 06111
(41.705362, -72.748857)",1,1041,86,94
2014,"Gima, LLC (Gima Sport)",241 Ledyard Street,Hartford,Hartford,CT,06114,Other Apparel Manufacturing,315999,No,12/27/2013,50000.00,90000.00,140000.00,190000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,8,2,0,0,11,Met,n/a,n/a,8,2,0,0,,,Active,241 Ledyard Street,1,"241 Ledyard Street
Hartford, CT 06114
(41.742029, -72.669519)",1,1041,8,64
2011,"Wusthof-Trident of America, Inc.",333 Wilson Avenue,Norwalk,Fairfield,CT,06850,Manufacturing,423990,No,06/01/2011,0.00,750000.00,750000.00,3250000.00,2500000.00,Manufacturing Assistance Act,CH 588l,0,40,,,49,Met,n/a,"250,000",0,30,0,0,,,Active,333 Wilson Avenue,1,"333 Wilson Avenue
Norwalk, CT 06850
(41.084022, -73.42144)",9,1040,155,103
2015,Charkit Chemical Corporation,32 Haviland Street,Norwalk,Fairfield,CT,06854,Chemical Distribution,424690,No,12/24/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,44,6,0,0,51,Met,n/a,n/a,44,4,0,0,,,Active,32 Haviland Street,1,"32 Haviland Street
Norwalk, CT 06854
(41.098138, -73.416667)",9,1040,155,103
2018,"Atlantic City Linen Supply, LLC",5 Consumer Avenue,Norwich,New London,CT,06360,Manufacturing,812320,No,01/12/2018,0.00,615000.00,615000.00,694200.00,79200.00,Manufacturing Assistance Act,CH 588l,135,23,0,0,158,Met,n/a,"250,000",135,28,35,7,,,Active,5 Consumer Avenue,1,"5 Consumer Avenue
Norwich, CT 06360
(41.580543, -72.110126)",8,1045,14,104
2017,"Pleasant View Farms, Inc.",452 South Road,Somers,Tolland,CT,06071,Agriculture,713900,No,03/28/2017,100000.00,300000.00,400000.00,500000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,5,4,0,0,Pending,Pending,n/a,n/a,5,4,2,0,,,Compliance Complete,452 South Road,1,"452 South Road
Somers, CT 06071
(41.956058, -72.445058)",1,38,143,129
2016,The Gilman Brothers Company,26 Gilman Road,Gilman,New London,CT,06336,Manufacturer of Foam Board,326130,Yes Veteran,03/30/2016,100000.00,300000.00,400000.00,579782.00,179782.00,Small Business Express Program,CGS Sec. 32-7g,71,5,0,0,Pending,Pending,n/a,n/a,71,5,0,0,,,Active,26 Gilman Road,1,"26 Gilman Road
Gilman, CT 06336
(41.579254, -72.197835)",8,1045,280,13
2012,"SchoolChapters, Inc.",45 South Main Street,West Hartford,Hartford,CT,06107,Education,611110,No,06/25/2012,100000.00,250000.00,350000.00,450000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,6,4,0,0,n/a,n/a,Loan repaid,n/a,6,4,0,0,,,Active,45 South Main Street,1,"45 South Main Street
West Hartford, CT 06107
(41.758567, -72.742574)",1,1041,158,155
2017,Faria Beede Instruments Inc.,385 Norwich New London Tpke,Uncasville,New London,CT,06382,Manufacturing,332710,No,09/29/2016,0.00,5000000.00,5000000.00,10000000.00,5000000.00,Manufacturing Assistance Act Revolving Loan Fund,CH 588l,151,35,n/a,n/a,236,Met,n/a,"1,750,000",168,145,23,0,,,Active,385 Norwich New London Tpke,1,"385 Norwich New London Tpke
Uncasville, CT 06382
(41.437295, -72.109223)",8,1045,15,86
2014,"Bowe Enterprises, LLC",220 Route 12,Groton,New London,CT,06340,Retail,445310,No,03/27/2014,75000.00,0.00,75000.00,293644.00,218644.00,Small Business Express Program,CGS Sec. 32-7g,4,6,0,0,14,Met,n/a,n/a,4,11,0,0,,,Active,220 Route 12,1,"220 Route 12
Groton, CT 06340
(41.367724, -72.069626)",8,1045,243,59
2014,Economic Development Corporation of New Haven,28 Orange Street,New Haven,New Haven,CT,06511,Economic Development,926110,No,03/21/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,7,5,0,0,27,Met,n/a,n/a,5,5,0,0,,,Released,28 Orange Street,1,"28 Orange Street
New Haven, CT 06511
(41.303849, -72.925269)",7,1044,133,93
2016,"First Leaps Together, LLC","758R Colonel Leyard Highway, P.O. Box 306",Ledyard,New London,CT,06339,Child Care,624410,Yes Woman,03/29/2016,100000.00,0.00,100000.00,523000.00,423000.00,Small Business Express Program,CGS Sec. 32-7g,2,6,0,0,9,Met,n/a,n/a,2,9,0,0,,,Active,"758R Colonel Leyard Highway, P.O. Box 306",1,,,,,
2019,"The Feel Good Lab, LLC",470 James Street,New Haven,New Haven,CT,06513,BioScience,,No,11/08/2018,50000.00,300000.00,350000.00,400000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,Pending,Pending,n/a,n/a,0,5,0,1,4,3,Active,470 James Street,1,"470 James Street
New Haven, CT 06513
(41.315037, -72.904109)",7,1044,275,93
2013,"C & M Screw Machine Products, Inc.",100 Broderick Road,Bristol,Hartford,CT,06010,Manufacturing,332722,No,07/27/2012,100000.00,250000.00,350000.00,450000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,42,4,0,0,45,Not Met,Loan repaid,n/a,42,4,0,0,,,Compliance Complete,100 Broderick Road,1,"100 Broderick Road
Bristol, CT 06010
(41.654393, -72.906442)",4,1041,219,17
2013,"Drilling Dynamics, LLC",336 Boston Post Road,Milford,New Haven,CT,06460,Saw Blade & Hand Tool Manufacturing,332216,No,09/10/2012,44019.00,0.00,44019.00,88037.00,44019.00,Small Business Express Program,CGS Sec. 32-7g,3,2,0,0,1,Not Met,"$1,000",n/a,3,2,0,0,,,Active,336 Boston Post Road,1,"336 Boston Post Road
Milford, CT 06460
(41.224776, -73.071639)",7,1044,193,84
2015,"Head Zone, LLC",2 Ivy Brook Road,Shelton,Fairfield,CT,06484,Medical/Education,541110,Yes Woman,07/10/2014,60000.00,50000.00,110000.00,190000.00,80000.00,Small Business Express Program,CGS Sec. 32-7g,3,3,0,0,8,Not Met,n/a,n/a,3,3,0,0,,,Active,2 Ivy Brook Road,1,"2 Ivy Brook Road
Shelton, CT 06484
(41.294403, -73.089238)",4,1040,217,126
2017,"FW Blasius Jr., LLC dba Chippanee Country Club",6 Marsh Road,Bristol,Hartford,CT,06010,Golf Courses,713910,No,08/10/2016,100000.00,300000.00,400000.00,504800.00,104800.00,Small Business Express Program,CGS Sec. 32-7g,14,10,0,0,Pending,Pending,n/a,n/a,10,15,0,0,,,Active,6 Marsh Road,1,"6 Marsh Road
Bristol, CT 06010
(41.701676, -72.976078)",4,1041,219,17
2016,"Telling Industries, LLC",1050 Kennedy Road,Windsor,Hartford,CT,06095,Manufacturing,331221,No,12/30/2015,0.00,1500000.00,1500000.00,4050000.00,2550000.00,Manufacturing Assistance Act,CH 588l,0,40,,,42,Met,n/a,"750,000",1,40,0,0,,,Active,1050 Kennedy Road,1,"1050 Kennedy Road
Windsor, CT 06095
(41.892192, -72.649344)",1,1041,19,164
2017,"Atlas Metals, LLC",74 Research Drive,Stamford,Fairfield,CT,06906,Scrap Removal and Sales,238900,Yes Veteran,12/08/2016,20000.00,0.00,20000.00,50000.00,30000.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,Pending,Pending,n/a,n/a,3,1,0,0,,,Compliance Complete,74 Research Drive,1,"74 Research Drive
Stamford, CT 06906
(41.076773, -73.518643)",9,1040,44,135
2018,"ThayerMahan, Inc.","4 Broadway Extension, Suite 210",Mystic,New London,CT,06355,Martime Security and Marine Robotics,334511,Yes Veteran,03/19/2018,100000.00,300000.00,400000.00,500000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,5,10,0,0,Pending,Pending,n/a,n/a,3,20,0,0,,,Compliance Complete,"4 Broadway Extension, Suite 210",1,"4 Broadway Extension, Suite 210
Mystic, CT 06355
(41.350269, -71.963888)",8,1045,135,137
2017,"SDB Properties, LLC and CT Restaurant Group, LLC",130 Center Street,Southington,Hartford,CT,06489,Restaurant,722110,No,12/29/2016,150000.00,100000.00,250000.00,1084750.00,834750.00,Small Business Express Program,CGS Sec. 32-7g,0,6,0,0,Pending,Pending,n/a,n/a,0,18,0,0,,,Active,130 Center Street,1,"130 Center Street
Southington, CT 06489
(41.601662, -72.88088)",1,1041,176,131
2015,"Cameron Family Farm, LLC",405 East Haddam Moodus Road,East Haddam,Middlesex,CT,06469,Family Farm,112340,Yes Minority,01/28/2015,100000.00,85246.00,185246.00,295692.00,110446.00,Small Business Express Program,CGS Sec. 32-7g,3,6,0,0,0,Not Met,OOB,OOB,3,8,0,0,,,Compliance Complete,405 East Haddam Moodus Road,1,"405 East Haddam Moodus Road
East Haddam, CT 06469
(41.49999, -72.455517)",3,1043,234,41
2016,"Taino Smokehouse, LLC",177 Ridge Road,Middletown,Middlesex,CT,06457,Food and Beverage,"722110, 712100",Yes Woman,04/04/2016,100000.00,300000.00,400000.00,602380.00,202380.00,Small Business Express Program,CGS Sec. 32-7g,4,15,0,0,Pending,Pending,n/a,n/a,17,24,0,0,,,Active,177 Ridge Road,1,"177 Ridge Road
Middletown, CT 06457
(41.544085, -72.642906)",3,1043,236,83
2016,"White Way Laundry, Inc.",271 Hall Avenue,Wallingford,New Haven,CT,06492,Industrial Laundry,541990,Yes Veteran,10/13/2015,100000.00,300000.00,400000.00,500000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,68,6,0,0,91,Met,n/a,n/a,68,6,0,0,86,9,Active,271 Hall Avenue,1,"271 Hall Avenue
Wallingford, CT 06492
(41.45995, -72.830239)",7,1044,195,148
2013,"Final Trac, LLC",56 Arbor Street,Hartford,Hartford,CT,06106,Release Tracking and Title Clearing,813920,Yes,04/03/2013,0.00,65000.00,65000.00,65000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,10,3,0,0,n/a,Loan repaid,n/a,n/a,10,4,0,0,,,Active,56 Arbor Street,1,"56 Arbor Street
Hartford, CT 06106
(41.759539, -72.703496)",1,1041,182,64
2017,"Massimino's Pizzeria, LLC",70 Main Street,Ansonia,New Haven,CT,06401,Restaurant,722511,Yes Woman/Minority,06/20/2017,0.00,202200.00,202200.00,202200.00,0.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,Pending,Pending,n/a,n/a,0,5,3,3,,,Active,70 Main Street,1,"70 Main Street
Ansonia, CT 06401
(41.345385, -73.079581)",4,1044,102,2
2012,"United Healthcare Services, Inc.",185 Asylum Street,Hartford,Hartford,CT,06103,Manufacturing,524114,No,04/11/2012,0.00,1500000.00,1500000.00,42363157.00,40863157.00,Manufacturing Assistance Act,CH 588l,2000,0,,,2654,Met,n/a,"1,500,000","1,986",0,14,0,,,Active,185 Asylum Street,1,"185 Asylum Street
Hartford, CT 06103
(41.767253, -72.676359)",1,1041,82,64
